nan-TW-Latn-pehoeji,nan-TW-Latn-tailo,zh-Hant-TW,en-US
thau-khòaⁿ,thau-khuànn,偷看,to peep
"Thau-khòaⁿ lâng ê phoe, thau-thiaⁿ lâng ê ōe sī chin sit-lé.",,偷看別人的信，偷聽人家的話是很沒有禮貌,"To secretly read other people’s mail or to secretly listen to other people’s conversations, is very impolite."
thau-thiaⁿ,thau-thiann,偷聽,to eavesdrop
"Thau-khòaⁿ lâng ê phoe, thau-thiaⁿ lâng ê ōe sī chin sit-lé.",,偷看別人的信，偷聽人家的話是很沒有禮貌,"To secretly read other people’s mail or to secretly listen to other people’s conversations, is very impolite."
thau-chia̍h,thau-tsia̍h,偷吃,to steal food | to eat in the sly
Lí teh thau-chia̍h sím-mih?,,你在偷吃什麼東西？,What are you eating on the sly?
thau-kóng,thau-kóng,偷偷地講,to talk behind people's back
M̄-thang thau kóng lâng ê pháiⁿ-ōe.,,不要講人家的壞話,Don’t talk about the faults of others behind their backs.
thau-khan,thau-khan,偷牽,to steal anything that is lead away. e.g. | bicycle | a horse | a cow etc.
I kā góa thau khan chi̍t tâi thih-bé; góa m̄ pàng i soah.,,他偷了我一輛自行車，我不放他過去,He stole my bike; I won’t let him go.
thâu,thâu,頭,the head | the first
Chi̍t pôaⁿ hî-á choân thâu.,,一盤魚都是頭,"Everybody wants to be the boss. (Lit. one dish of fish, all heads)."
koàn-thâu,kuàn-thâu,罐頭,a can (of canned goods)
thâu chi̍t ê,thâu tsi̍t ê,頭一個,the first one
thâu chi̍t pái,thâu tsi̍t pái,頭一次,the first time
thâu chi̍t hāng,thâu tsi̍t hāng,頭一件,the first point (in a discourse)
thâu chi̍t kù,thâu tsi̍t kù,頭一句,the first sentence
thâu chi̍t ji̍t,thâu tsi̍t ji̍t,頭一日,the first day
thâu tiám-cheng,thâu tiám-tsing,頭一節,the first period or class
thâu lâng,thâu lâng,長老 | 領袖,a leader
thâu-ke,thâu-ke,老闆,a master (of a house or shop) | an employer
thâu-ke-niû,thâu-ke-niû,老闆娘,master's or employer's wife
tháu,tháu,解開,untie | undo | unfasten | open
Chit ê kat lí tháu khòaⁿ ē khui--bē?,,這個結你能解開嗎？這包是什麼，解開看一看,See if you can untie this knot.
"Chit pau sī siáⁿ-hòe, tháu khí-lâi (o̤ tháu khui) khòaⁿ-bāi--leh.",,,"What’s in this package, open it and take a look."
thé-io̍k,thé-io̍k,體育,physical culture
Lí tùi thé-io̍k ū chhù-bī--bô?,,你對體育有興趣嗎？,Are you interested in physical culture?
thé-chhau,thé-tshau,體操,physical culture
thè,thè,替,in place of | (as a substitute) | for | in behalf of
Chit ê cha-bó͘-gín-á ē-hiáu thè in lāu-bú chí pn̄g.,,這個女孩子能替他的母親燒飯,This girl can cook in place of her mother.
thè-pō͘,thè-pōo,退步,fall backward | retrograde
"Nā bô chìn-pō͘, chiū sī thè-pō͘.",,若無進步就是退步,"Where there is no progress, there is retrogression."
thé-thiap | tông-chêng,thé-thiap | tông-tsîng,體貼,to sympathize
Lí chin gâu thé-thiap kan-khó͘-lâng.,,你很能體貼窮人,You always have pity on (sympathize with) those in misery.
thè-sek,thè-sik,褪色,to fade | faded
bē thè-sek,bē thè-sik,不褪色,it won't fade
thè īⁿ,thè īnn,退院,to leave the hospital
thè jia̍t,thè jia̍t,退熱,one's fever falls
Chit pau io̍h-á chia̍h liáu liâm-piⁿ ē thè-jia̍t (or jia̍t ē thè).,,這包藥吃了馬上就會退熱,"As soon as you have taken this package of medicine, your fever will go down."
the̍h,the̍h,拿 | 提 | 帶,to take up with the hands
the̍h--lâi,the̍h--lâi,拿來,to bring
the̍h--khì,the̍h--khì,拿去,to take
the̍h--chhut--khì,the̍h--tshut--khì,拿出去,take it out
the̍h--chhut--lâi,the̍h--tshut--lâi,拿出來,bring it out
the̍h--tńg-lâi,the̍h--tńg-lâi,拿回來,bring it back
the̍h--tńg-khì,the̍h--tńg-khì,拿回去,take it back
the̍h--ji̍p-lâi,the̍h--ji̍p-lâi,拿進來,take it in
the̍h--ji̍p-khì,the̍h--ji̍p-khì,拿進去,bring it in
the̍h--lo̍h-khì,the̍h--lo̍h-khì,拿下去,take it down
the̍h--lo̍h-lâi,the̍h--lo̍h-lâi,拿下來,bring it down
the̍h--khí-khì,the̍h--khí-khì,拿上去,take it down
the̍h--khí-lâi,the̍h--khí-lâi,拿起來,bring it up
the̍h,the̍h,,
āiⁿ,āinn,背,to carry on one's back
Góa āiⁿ chit ê gín-ná boeh lâi-khì hō͘ i-seng khòaⁿ.,,我背這個小孩子要去街上給醫生看,I am carrying this child to town to let the doctor take a look at him.
kōaⁿ,kuānn,提,to carry by a handle
Lí khì kōaⁿ chi̍t tháng chúi lâi ak hoe.,,你去提一桶水來澆花,Bring a bucket of water to water the flowers.
tòa,tuà,帶,to carry or bring along.
Lí seng-khu tòa lōa chē chîⁿ?,,你身上帶多少錢,How much money are you carrying on your person?
tē,tē,帶在袋裡 | 裝,to carry in one's pocket.
Chiah ê thn̂g-á tńg khì pun lín hiaⁿ-tī chí-mōe chia̍h.,,這些糖果帶回去分給你們兄弟姐妹吃,Put these candies in your pocket and take them back and divide them among your brothers and sisters (to eat).
phō,phō,抱,to carry a child in one's arms
"Chit ê gín-ná, góa phō-liáu chhiú chin sng, ōaⁿ lí phō chi̍t khùn.",,這個小孩子我抱得手很酸，換你抱一下,"I have carried this child until my arms are very sore, you take a turn in carrying him for a while."
taⁿ,tann,擔,to carry two loads on a pole over one's shoulder
Góa boeh taⁿ chhài lâi-khì chhài-chhī-á bē.,,我要擔菜到市場賣,I am going to carry some vegetables to market to sell.
nhoe̍h | nge̍h,nhue̍h | nge̍h,夾,to carry under one's arm
Góa ngoe̍h chi̍t pún chheh ngoe̍h kah phàng-kìⁿ-khì.,,我夾一本書夾得丟掉了,I was carrying a book under my arm and I lost it.
lám,lám,摟 | 抱,to take in one's arms
Lí khì lám chi̍t lám chhâ lâi hō͘ góa hiâⁿhóe.,,你去抱一捆柴來給我起火,Get an armful of wood for me to make a fire.
phâng,phâng,捧,to carry or bring with two hands as a dish
Lí khì phâng tê phâng piáⁿ lâi chhiáⁿ Sîn-hū.,,你去端茶和餅來請神父,Bring some tea and cakes and serve them to Father.
kng,kng,抬,to carry between two or more
"Hit ê lâng phòa-pīⁿ chin siong-tiōng, tio̍h-ài kng khì ji̍p-īⁿ.",,那個人病得很嚴重，要抬去入院,"That fellow is seriously sick, he must be carried to the hospital."
gia̍h,gia̍h,拿,"to carry with the hand anything that has the classifier ""[ki]"""
"Hit ê lâng chia̍h kàu peh cha̍p hòe, iáu m̄-bián gia̍h koái-á.",,那個人到了八十歲，還不用拿拐子,That fellow is eighty years old and he still does not need to use a cane.
giâ,giâ,夯,to carry a large bulky thing (as a chair) | sometimes also resting on the shoulder.
"Boeh peh soaⁿ ê sî, hêng-lí ēng giâ ê pí ēng taⁿ ê khah hó peh.",,要爬山的時候，行李用夯的比用擔的容易爬,"In climbing up a mountain, it is easier climbing if one carries his baggage over his shoulder than if he carries it on a pole."
phāiⁿ,phāinn,背,to carry something on the back of the shoulder
Ha̍k-seng chi̍t ê phāiⁿ chi̍t pau chheh-pau khì ha̍k-hāu tha̍k-chheh.,,學生一個人背着一個書包去學校念書,Each student is going to school with a school-bag over his shoulder.
hiaⁿh,hiannh,帶 | 拿,to carry clothes | blankets | quilts | or a mosquito net
"Kin-ná-ji̍t chin kôaⁿ, góa hiaⁿh chit niá saⁿ boeh lâi hō͘ lí chhēng.",,今天很冷，我帶一件衣服來給你穿,"It is very cold today, I am carrying this coat for you to wear."
lia̍h,lia̍h,捉,"to catch | to seize | often translated into English by simply ""Bring"" or ""Take"""
"Sîn-hū, góa lia̍h chi̍t chiah káu-á-kiáⁿ boeh lâi hō͘ lí chhī.",,神父，我帶一隻小狗來給你養,Father I brought a puppy for you to raise.
chhōa,tshuā,導,to lead | to take some one somewhere
"Lí nā m̄ chai lō͘, góa chhōa lí lâi khì.",,你假如不知路，我帶你去,"If you don’t know the way, I’ll take you."
chài,tsài,載,to take some on a bicycle or motorcycle
"Lí nā boeh khì, góa ēng o͘-tho͘-bái kā lí chài-lâi-khì.",,你若要去，我用機器腳踏車載你去吧,"If you want to go, I’ll take you on the motorcycle."
khan,khan,牽,to take some one by the hand
Goán-pha-phà ta̍k chái-khí khan góa khì kong-hn̂g sàm-pō͘.,,我的爸爸每天早上牽我的手到公園散步,My papa takes me for a stroll in the park every morning.
chhia,tshia,載,to take by truck
Chiah ê gû-leng-hún boeh chhia-lâi-khì Oân-lîm ê sèng-tn̂g.,,這些奶粉要載到員林的聖堂,We want to take this milk powder by truck to Oan Lim.
thoa,thua,拖,to bring by dragging or pulling
Hit kha khang siuⁿ-á kā góa thoa lâi chia.,,把那個空箱子拖到這裡來,Bring that empty box here.
thèng-hāu,thìng-hāu,等候,to wait 18
Lí m̄-thang hō͘ i thèng-hāu siuⁿ kú.,,你不可給她等得太久,Don’t let him wait too long.
thêng,thîng,停,to stop (as car or work)
"In-ūi phòa-pīⁿ, thêng chin kú bô chò kang.",,因為病，停很久沒做工,"Because I was sick, I rested (stopped) for a long time and did not work."
khah-thêng-á,khah-thîng-á,再一會兒,in a few moments | in a little while
I khah thêng-á ē kàu chia.,,他再一會兒會到這裡,He will be here in a few moments.
thêng-chhia,thîng-tshia,停車,stop the car
thêng-kang,thîng-kang,停工,to stop working
thêng-tiān,thîng-tiān,停電,turning off of electric current
"Lé-pài-ji̍t, siông-siông ū thêng-tiān.",,禮拜天，常常停電,The electricity is always turned off on Sunday.
thî,thî,啼,"to crow (as cock, only) | to sob"
ke thî,ke thî,公雞啼,the cock crows
thî-khàu,thî-khàu,啼哭,to bewail with sobs and cries
thì,thì,剃,to shave (only hair on head)
Lí boeh thì sím-mih hêng?,,你要剪什麼髮式,What kind of haircut do you want?
thì-thâu,thì-thâu,理髮,to shave one's head | to cut hair
Góa boeh thì thâu.,,我要剃頭,I want to get a haircut.
thì-thâu sai-hū,thì-thâu sai-hū,理髮師,a barber
thì-thâu tiàm,thì-thâu tiàm,理髮店,a barber shop
thì,thì,,
Chian thâu-chang (or thau-mô͘),,剪頭髮,To cut hair or to have one’s hair.
thí,thí,展開,to open eyes or umbrella | to spread out as a fan
"Ba̍k-chiu ài thí-khui (or peh-khui), m̄-thang kheh-lè.",,眼睛要展開，不要合著,"You should open your eyes, don’t close them."
"Hō͘-sòaⁿ nā lo̍h-hō͘ chiah thí-khui, nā bô hō͘ ài ha̍p-lè.",,雨傘在下雨的時候才展開，若沒有雨要合著,"Open your umbrella only if it’s raining, if it is not raining close it."
thiⁿ,thinn,天 | 天空 | 天氣,Heaven | sky | weather
thhiⁿ-tē,thhinn-tē,天地,heaven and earth
tī thiⁿ-téng,tī thinn-tíng,在天空,in the sky
thiⁿ téng tē ē,thinn tíng tē ē,天上地下,heaven above | earth below | the universe
thiⁿ-khì,thinn-khì,天氣,weather
hó thiⁿ,hó thinn,好天氣,fine weather
pháiⁿ thiⁿ,pháinn thinn,壞天氣,rotten weather
thiⁿ kng,thinn kng,天亮,dawn
thiⁿ iáu bōe kng,thinn iáu buē kng,天還沒有亮,before dawn
Thiⁿ (iáu) bōe kng I siông-siông peh-khì-lâi liām-keng.,,天還沒有亮他常常起來念經,He usually gets up before dawn and prays.
thīⁿ,thīnn,縫,to sew
"Góa ê saⁿ lak chi̍t lia̍p liú-á, chhiáⁿ lí kā góa thīⁿ.",,我的衣服掉了一個鈕扣，請你替我縫起來,"A button came off my shirt, please sew it on for me."
thiⁿ | ke-thiⁿ,thinn | ke-thinn,添 | 加添,to add | to add to
"Sîn-hū m̄-thang sè-jī, góa ke kā lí thiⁿ chi̍t óaⁿ pn̄g.",,請神父不要客氣，我替你再添一碗飯,"Father don’t do be so formal, I’ll fill your rice bowl again."
thiàⁿ,thiànn,痛 | 疼愛,to be in pain | to love
Thian-chú chin thiàⁿ sè-kan-lâng.,,天主很愛世人,God loves the people in the world.
Sè-kan-lâng tio̍h-ài ài Thian-chú.,,世人應愛天主,People in the world must love God.
Pē-bú chin thiàⁿ kiáⁿ.,,父母很愛他的子女,Parents love their children very much.
Kiáⁿ chin ài pē-bú.,,子女很愛他的父母,Children love their parents very much.
Pún-tn̂g ê sîn-hū chin thiàⁿ kàu-iú.,,本堂的神父很愛教友,The pastor loves the Catholics very much.
Kàu-iú chin ài sîn-hū.,,教友很愛神父,The Christians really love the priest.
tit-lâng-thiàⁿ,tit-lâng-thiànn,受人疼愛,amiable | beloved (Lit. gets people's love).
Khah koai ê gín-á long khah tit-lâng-thiàⁿ.,,乖的孩子比較得人家的喜愛,A rather well behaved child always wins people’s love.
thiaⁿ,thiann,聽,to listen | to hear | to let a man have his way | to listen to | to take advice
thiaⁿ ū,thiann ū,聽懂,to understand
thiaⁿ bô,thiann bô,聽不懂,not to understand
hó thiaⁿ,hó thiann,好聽,pleasant to hear
Chit tiâu koa chin hó thiaⁿ.,,這支歌很好聽,This is a very beautiful song.
pháiⁿ thiaⁿ,pháinn thiann,不好聽,unpleasant to hear
kóng hō͘ i thiaⁿ,kóng hōo i thiann,講給他聽,tell me (speak that he may hear)
góa kóng hō͘ lí thiaⁿ,guá kóng hōo lí thiann,我講給你聽,listen to me!
ài thiaⁿ,ài thiann,喜歡聽,to wish to hear | to like to listen to
Góa chin ài thiaⁿ siu-im-ki.,,我很喜歡聽收音機,I like to listen to the radio very much.
thiaⁿ góa ê chhùi,thiann guá ê tshuì,聽我的話,listen to my advice!
khah thiaⁿ chhùi--leh,khah thiann tshuì--leh,聽話一點,be more obedient!
thiaⁿ ōe | thiaⁿ chhùi,thiann uē | thiann tshuì,聽話,to obey | to submit to | to be doclie
"Gín-ná nā bô thiaⁿ pē-bú ê ōe, khah gâu iā bē ēng-tit kóng sī hó gín-ná.",,孩子如果不聽父母的話，再好也不能稱為好孩子,"If children don’t obey their parents no matter how smart they are, they cannot be called good children."
thiaⁿ bēng,thiann bīng,聽命,to obey | to submit to | to be doclie
Kàu-iú kap thoân-kàu sian-siⁿ lóng tio̍h-ài thiaⁿ Sîn-hū ê bēng.,,教友和傳教先生都要聽神父的命令,Both the Christians and the catechists must obey the priest.
thiaⁿ ū,thiann ū,聽懂,to understand
"Lí nā chin-chhiūⁿ án-ni kóng, góa chiū thiaⁿ-ū.",,你如果這樣說，我就聽得懂,"When you talk that way, I can understand you."
thiaⁿ bô,thiann bô,聽不懂,not to understand
"I kóng siuⁿ sè siaⁿ koh siuⁿ kín, góa thiaⁿ lóng bô.",,他說得太小聲，我一點都聽不懂,"He talks too fast and too softly, I can’t understand him at all."
thiaⁿ-kìⁿ,thiann-kìnn,聽見,to hear (Lit. to perceive by listening) | can hear.
"Lí ū thiaⁿ-kìⁿ bô thiaⁿ-kìⁿ, tio̍h-ài si̍t-chāi kóng.",,你有聽見沒有聽見，要老實說,You should truthfully say whether you can hear or not. (Said by a speaker in a large hall).
m̄ thiaⁿ,m̄ thiann,不聽,will not listen | will not obey | will not take advice
"Khah án-chóaⁿ kiò (Koh khah kiò) (Khah kiò) I m̄-thang poa̍h-kiáu, i lóng m̄ thiaⁿ.",,再怎樣叫他不要賭博，他都不聽,"You can tell him, as much as you want, not to gamble, but he won’t listen to you at all."
bē hiáu thiaⁿ,bē hiáu thiann,不會聽,not able to understand
"Lí kóng ê ōe kî-kî-koài-koài, góa bē hiáu thiaⁿ.",,你講的話奇奇怪怪，我不會聽,"Your language is very strange, I can’t understand (it) you."
thiaⁿ bē hiáu,thiann bē hiáu,聽不懂,to hear | but unable to make out the meaning.
"I ê hoat-im bô chiàⁿ, góa thiaⁿ bē-hiáu.",,他的發音不正，我聽不懂,"His pronunciation is not correct, I don’t get what he is saying."
thiaⁿ ē tio̍h,thiann ē tio̍h,聽得到,to hear and to be able to catch what is being said | to have a chance to hear | to get to hear
Āu-bīn ê lâng thiaⁿ ē tio̍h bē?,,後面的人能聽到嗎？,Can the people in the rear hear what is being said. (What I am saying.)
thiaⁿ bē tio̍h,thiann bē tio̍h,聽不到,to hear but not to be able to catch what is being said | to miss hearing either because of distance or some obstruction | not to have a chance to hear | not to get to hear.
"Āu-bīn (nā) thiaⁿ bē tio̍h ê lâng, chhiáⁿ lín lâi chē thâu-chêng.",,後面聽不到的人，請你們來坐前面,"If the people in the rear can’t hear what is said, please sit up front."
thiaⁿ m̄ tio̍h,thiann m̄ tio̍h,聽錯,to hear incorrectly
"Lí thiaⁿ m̄ tio̍h, góa kiò lí bé tī, lí khì bé chi̍t chiah ti lâi.",,你聽錯了，我叫你買筷子，你去買一隻豬,"You heard me wrong, I told you to buy chopsticks, you went and bought a pig."
thiaⁿ bē chheng-chhó,thiann bē tshing-tshó,聽不清楚,Not to understand clearly | not to be able to hear clearly
"Sîn-hū nā ēng Eng-gí kóng tō-lí, góa chiū thiaⁿ bē chheng-chhó.",,神父如果用英語講道理，我就聽不清楚,"If Father preaches in English, I can’t (hear) understand him clearly. (Because I know very little English)."
thiaⁿ bô chheng-chhó,thiann bô tshing-tshó,沒聽清楚,Did not hear clearly
"Góa tú-tú the tok-(tuh) ku, só͘-í I kóng ê ōe góa thiaⁿ bô chheng-chhó.",,我剛剛在打盹，所以他講的話我沒聽清楚,"I was just nodding, so I did not hear clearly what he said."
thiaⁿ,thiann,,
Góa m̄ bat thiaⁿ-kìⁿ lâng án-ni kóng.,,我不曾聽見人家這樣講,I have never heard any one talk that way.
thiaⁿ bô chin | thiaⁿ bô siông-sè,thiann bô tsin | thiann bô siông-sè,聽不詳細,to make a mistake in hearing | to hear inexactly
"Góa m̄-sī kóng án-ni, lí thiaⁿ bô chin (bô siông-sè).",,我不是這麼說，你聽得不仔細,"I didn’t say that, you didn’t hear rightly."
hō͘ góa thiaⁿ-tio̍h,hōo guá thiann-tio̍h,被我聽到,overheard by me (I got to hear)
"Lín teh kóng góa ê pháiⁿ-ōe, hō͘ góa thiaⁿ-tio̍h.",,你們在說我的壞話，被我聽到,I overheard you talk about my faults.
góa ū thiaⁿ-kìⁿ lâng kóng,guá ū thiann-kìnn lâng kóng,我有聽人家說過,I heard some one say | I heard that...
bô thiaⁿ-kìⁿ,bô thiann-kìnn,沒有聽見,not to be able to hear | or did not hear
Hit lâng tāi-chì góa lóng bô thiaⁿ-kìⁿ,,那一件事情我都沒聽人家說過,I have not heard people talk about that.
chhàu-hīⁿ-lâng bô thiaⁿ-kìⁿ,tshàu-hīnn-lâng bô thiann-kìnn,聾子聽不到,a deaf man cannot hear (Lit. does not hear).
thiaⁿ,thiann,廳,large public room
tōa-thiaⁿ,tuā-thiann,正廳,the large central hall of a house
chia̍h pn̄g thiaⁿ,tsia̍h pn̄g thiann,飯廳,dining hall
lâng-kheh thiaⁿ,lâng-kheh thiann,客廳,guest hall
thiah-phòa,thiah-phuà,撕破,"to tear (paper, clothes)"
"Góa ê gín-ná kap lâng sio-phah, chi̍t niá saⁿ thiah-phòa liáu-liáu.",,我的孩子和人打架，一件衣服撕破的很利害,"My boy was fighting with people, he tore a shirt all to pieces."
thiah-khui | lì--khui,thiah-khui | lì--khui,撕開,to open by tearing (envelope)
"Chit tiuⁿ phoe, sím-mih lâng kā góa thiah-khui.",,我這封信，誰把它撕開,Who tore open this better of mine.
thiám,thiám,累 | 疲勞,to be tired | worn out | fatigued
"Góa lâng chin thiám, khùn kah m̄-chai-iáⁿ thang chhíⁿ.",,我身體很疲倦，睡得不知道醒來,"I was all fatigued, I slept so long that I did not know when it was time to get up."
thian-chú,thian-tsú,天主,God
Jīn bat Thian-chú.,,認識天主,To recognize that there is a God.
Thian-chú pó-iū.,,天主保佑,God Bless You!
Sī Thian-chú ê an-pâi.,,是天主的安排,It’s God’s plan.
thian-chú-keng,thian-tsú-king,天主經,"the ""Our Father"""
thian-chú sèng-hū,thian-tsú sìng-hū,天主聖父,God the Father
thain-chú sèng-chú,thain-tsú sìng-tsú,天主聖子,God the Son
thian-chú sèng-sîn,thian-tsú sìng-sîn,天主聖神,Sod the Holy Ghost
thian-chú-kàu,thian-tsú-kàu,天主教,Catholic religion
thian-chú-kong-kàu,thian-tsú-kong-kàu,天主公教,Universal (Catholic) religion
thian-chú kàu-tn̂g,thian-tsú kàu-tn̂g,天主教堂,Catholic Mission
thian-sîn | thiⁿ-sài,thian-sîn | thinn-sài,天神 | 天使,an angel
thian-tông,thian-tông,天堂,Heaven
seng thian-tông,sing thian-tông,升天堂,to go to Heaven
thian-châi,thian-tsâi,天才,a genius | to have a genius for | natural ability.
I sī hoat-bêng ê thian-châi.,,他是發明的天才,He is a genius for inventions.
Gí-ha̍k ê thian-châi.,,語學的天才,A natural ability to acquire languages.
thian-jiân | chū-jiân,thian-jiân | tsū-jiân,天然,natural | spontaneous
"Ji̍t-goa̍t-thâm m̄ sī thian-jiân ê thâm, sī lâng chō ê.",,日月潭不是天然的潭，是人造的,"Sun Moon Lake is not a natural lake, it is artificial."
thian-jiân-sek,thian-jiân-sik,天然色,natural color
thian-jiân-sek ê siòng,thian-jiân-sik ê siòng,天然色的相片,a colored photograph
thian-jiân sek ê nńg phìⁿ,thian-jiân sik ê nńg phìnn,天然色的軟片,colored film
thian-hoa,thian-hua,天花,smallpox | variola
"Chím-má thian-hoa teh liû-hêng, tāi-ke tio̍h chèng-chu.",,現在流行著天花，大家要種痘,"There is now an epidemic of smallpox, everyone must be vaccinated."
thian-pông,thian-pông,天花板,ceiling
thiāu-á,thiāu-á,柱,a pillar | a pole
tiān-teng thiāu | tiān-hóe thiāu,tiān-ting thiāu | tiān-hué thiāu,電燈杆,lamp posts
tiān-ōe thiāu | tiān-sìn thiāu,tiān-uē thiāu | tiān-sìn thiāu,電話杆,telegraph poles
thiàu,thiàu,跳,to jump
"Lí nā hiah gâu thiàu, chhut-khì kap lâng pí-sài, hó là!",,你若那麼會跳，何不出去和人比賽呢！,"If you’re so good at jumping, go and get into a contest with others."
thiàu--khí-lâi,thiàu--khí-lâi,跳起來,to jump up
thiàu--lo̍h-khì,thiàu--lo̍h-khì,跳下去,to jump down
Lí tùi chhù-téng káⁿ thiàu-lo̍h-khì bô?,,你從屋頂敢跳下去嗎？,Do you dare jump down from the roof?
thiau--chhut--khì,thiau--tshut--khì,跳出去,to jump out
Tùi thang-á-mn̂g thiàu-chhu-khì.,,從窗上跳出去,To jump out the window.
thiàu--kòe--khì,thiàu--kuè--khì,跳過去,to jump over
Lí ē-tàng thiàu kòe chit tiâu soh-á (khì) bē?,,你能夠跳過這條繩子嗎？,Can you jump over this rope?
thiàu-bú,thiàu-bú,跳舞,to dance
Lán lâi-khì thiàu-bú.,,我們去跳舞,Let’s have a dance.
thiàu-chúi,thiàu-tsuí,跳水,to dive | to drown oneself
"Hit ê lâng bô chîⁿ thang i pīⁿ, só͘-í khì thiàu-chúi.",,那個人沒有錢治病，所以跳水自殺,"That fellow had no money to cure his disease, so he jumped in a river (committed suicide)."
thiau-kang | choan-kang,thiau-kang | tsuan-kang,特地,especially | to take the trouble to
"Siá phoe á-sī kiò tiān-ōe lâi hō͘ góa chiū hó, m̄-bián thiau-kang (choan-kang) lâi (kā góa kóng).",,寫信或者打電話給我就好了，不必專程來,"Write a letter or phone to me, you don’t need to make a special trip (to let me know)."
thiau ì-kò͘ | thiau-kò͘-ì | thiau-tî,thiau ì-kòo | thiau-kòo-ì | thiau-tî,故意,intentionally | purposely | on purpose
"Chin sit-lé, góa m̄ sī thiau-ì-kò͘ kā lí ta̍h-tio̍h ê.",,對不起，我不是故意踩你的,"I beg your pardon, I did not purposely step on you."
thiau-chiàn,thiau-tsiàn,挑戰,to challenge
"Lán cho͘-chit chi̍t tūi pang-kiû-tūi, lâi khì tùi kò͘-būn-thoân thiau-chiàn hó bô?",,我們組織一隊棒球隊，來向顧問團挑戰好嗎？,"Let’s organize a baseball team to challenge M.A.A.G., O.K.?"
thih,thih,鐵,iron
thih-lō͘,thih-lōo,鐵路 | 鐵道,railroad
thih-bé,thih-bé,腳踏車 | 自行車,a bicycle
khiâ thih-bé,khiâ thih-bé,騎腳踏車,to ride a bicycle
thih kiô,thih kiô,鐵橋,an iron bridge
thih-kńg,thih-kńg,鐵管,an iron pipe
thih-kang-chhiúⁿ | thih-kang-tiûⁿ,thih-kang-tshiúnn | thih-kang-tiûnn,鐵工廠,an iron works | iron factory
thîn,thîn,斟酌 | 倒,to help (one to wine) | to pour out (tea) gently
Thîn chi̍t poe tê chhiáⁿ lāu-su.,,倒一杯茶來請老師,Pour out a cup of tea and serve it to the professor.
Sîn-hū ū thin chi̍t poe gōa-kok chiú chhiáⁿ góa.,,神父倒了一杯洋酒請我,Father poured out a cup of foreign liquor and treated me.
ttit-thô | chhit-thô,ttit-thô | tshit-thô,玩耍,to play | recreate
"Nā ū-chîⁿ, Hiong-káng sī chin hó chhit-thô (thit-thô) ê só͘-chai.",,要是有錢，香港是頂好玩的地方,"If one has money, Hong Kong is a nice place to go for some enjoyment."
thn̂g,thn̂g,糖,sugar
thn̂g-á,thn̂g-á,糖果,candy
thn̂g-jiō-pīⁿ,thn̂g-jiō-pīnn,糖尿病,diabetes (Lit. sugar-urine-disease)
thng,thng,湯,soup
thng-sî-á,thng-sî-á,匙,a spoon
thn̄g | thn̄g-sio,thn̄g | thn̄g-sio,烘暖,"to heat again (as soup, food)"
"Chhài-thng siuⁿ léng, koh thn̄g khah sio lè.",,菜湯過冷，再把它烙暖,"The soup is too cold, heat it up again."
thǹg,thǹg,脫,"to take off (clothes, shoes)"
tǹg-saⁿ,tǹg-sann,脫衣,to take off clothes
thǹg ê,thǹg ê,脫鞋,to take off shoes
thǹg--tio̍h,thǹg--tio̍h,以開水燒傷,to be burnt by boiling water or soup | to be scalded
"Kún-chúi nā lim siuⁿ kín, ē thǹg-tio̍h.",,滾水若喝太快，會燒燙,"If you drink boiling water too fast, you will scald yourself (your mouth)."
thó,thó,討 | 要求,to request | demand | beg
Chit ê gín-ná chi̍t ji̍t thó kúi-nā pái chîⁿ.,,這個孩子一天討了好幾次錢,This kid begs for money several times a day.
thó-lūn,thó-lūn,討論,to discuss plans | to devise ways
"Lín thó-lūn liáu, kiat-kó boeh án-chóaⁿ chò?",,你們討論之後，結果要怎麼做？,"After you finished the discussion, what did you want to do as a result. (What did you decide to do ?)"
thó-siàu,thó-siàu,討債,to demand payment
thô-á,thô-á,桃子,a peach
thò-tòng,thò-tòng,妥當,safety | safe | fortunate
thò-tòng--lo̍h,thò-tòng--lo̍h,很幸虧,I've got it! I am sure of success.
bô thò-tòng,bô thò-tòng,危險,dangerous | not safe
thô͘-kha,thôo-kha,地板 | 地面,floor or ground
sàu thô͘-kha,sàu thôo-kha,掃地,to sweep the floor
thô͘-tāu,thôo-tāu,花生米,peanuts
thô͘-tāu-iû | hóe-iû,thôo-tāu-iû | hué-iû,花生油,peanut oil
thô͘-tāu thn̂g-á,thôo-tāu thn̂g-á,花生糖,peanut candy
thó͘-tī kong,thóo-tī kong,土地公,a pagan god | guardian of fields and crops
thô͘-hún,thôo-hún,塵埃,dust
thô͘-thòaⁿ,thôo-thuànn,煤炭,coal
thô͘-thòaⁿ sái,thôo-thuànn sái,燃屑 | 煤渣,cinders
thó͘-khùi | thó͘ tōa-khùi,thóo-khuì | thóo tuā-khuì,歎息,to sigh
"Lí teh thó͘ tōa-khùi, ū sím-mih hoân-ló ê tāi-chì, sī bô?",,你在歎惜，是否有什麼煩惱的事情？,"You are sighing, are you worrying about anything?"
thô͘-chúi sai-hū,thôo-tsuí sai-hū,泥水匠,a mason
thò͘-á,thòo-á,兔子,a rabbit
thò͘,thòo,吐,to vomit
Chái-khí kàu taⁿ thò͘ saⁿ pái.,,從早上到現在吐了三次,"One cow cannot pull (this load), we must use two cows."
