en_GB,es,ja,zh_CN,zh_TW,en_US
UnknownATA SMART graph label,,不明,未知ATA SMART graph label,不明,UnknownATA SMART graph label
Unlink,,リンク解除,取消链接,取消連結,Unlink
Unlock,,ロック解除,解锁,解鎖,Unlock
Unlock Keyring,,キーリングのロック解除,解锁密钥环,解開鑰匙圈,Unlock Keyring
Unlock Login Keyring,,ログインのキーリングのロック解除,解锁登录密钥环,解開登入鑰匙圈,Unlock Login Keyring
Unlock Text,,,解锁文字,解鎖的文字,Unlock Text
Unlock Tooltip,,ツールチップを有効にするかどうか,解锁工具提示,解鎖的工具提示,Unlock Tooltip
Unlock certificate,,証明書のロック解除,解锁证书,解鎖憑證,Unlock certificate
Unlock private key,,秘密鍵のロック解除,解锁私钥,解鎖私密金鑰,Unlock private key
Unlock public key,,公開鍵のロック解除,解锁公钥,解鎖公開金鑰,Unlock public key
Unlocking Devicejob,,デバイスをロック解除していますjob,解锁设备job,解鎖裝置job,Unlocking Devicejob
Unlocking LUKS Device,,LUKS デバイスをロック解除中,正在解锁 LUKS 设备,正在解鎖 LUKS 裝置,Unlocking LUKS Device
Unmap,,アンマップ,取消映射关系,未對應,Unmap
Unmerging,,,正在取消合并,正在取消合併,Unmerging
Unmount,,,卸载,解除掛載,Unmount
Unmount Anyway,,とにかくログインする,,強制卸載,Unmount Anyway
Unmount Error,,,卸载错误,卸載發生錯誤,Unmount Error
Unmount the volume,,ボリュームをアンマウント,卸载此卷,卸載這個儲存區,Unmount the volume
Unmounting ...,,,卸载 ...,正在卸載 ...,Unmounting ...
Unmounting …,,アンマウント中 ...,正在卸载 ...,正在卸載 ...,Unmounting …
Unmute,Dar voz,,,,Unmute
Unoptimize,,最適化を解除,,,Unoptimize
Untick to force zero intercept,,,不选则强制零截距,,Untick to force zero intercept
Until :,,,直到 ：,到 ：,Until :
Up,Arriba,上へ,向上,上層,Up
Up : Up,Arriba,,,,Up : Up
Up Left : Home,Inicio,,,,Up Left : Home
Up Right : Page Up,AvPág,,,,Up Right : Page Up
Upington,,アピントン,阿平顿,烏平通,Upington
Upper,Superior,上限,,上限,Upper
Upper Hour,,,上限时间,時間上限,Upper Hour
Upper limit hour,,最大時間,,小時上限,Upper limit hour
Upper limit minute,,最大分数,,分鐘上限,Upper limit minute
Upper limit month,,最大月,,月份上限,Upper limit month
Upper limit of ruler,,ルーラの上限値,标尺的最高刻度,尺規的上限,Upper limit of ruler
Upper limit year,,最大年,,年份上限,Upper limit year
Uranium City,,ウラン市,铀城,鈾城,Uranium City
Urbe Airport,"Urbe , aeropuerto",,,,Urbe Airport
Urfa,,ウルファ,,烏爾法,Urfa
Urganch,Urgench,,乌尔根奇,烏爾根奇,Urganch
Urgench,,ウルゲンチ,,烏爾根奇,Urgench
Urgent,Urgente,緊急,紧急,緊急,Urgent
Url :,,,网址 ：,網址 :,Url :
Uruapan,,ウルアパン,乌鲁阿潘,烏瓦潘,Uruapan
"UruapanCity in Veracruz , Mexico",,"ウルアパンCity in Veracruz , Mexico","乌鲁阿潘City in Veracruz , Mexico","烏瓦潘City in Veracruz , Mexico","UruapanCity in Veracruz , Mexico"
Uruguaiana,,ウルグアイアナ,乌拉圭亚纳,烏魯圭雅納,Uruguaiana
Uruguay,,ウルグアイ,乌拉圭,烏拉圭,Uruguay
Urumqi武汉,Urumqi,烏魯木斉武汉,乌鲁木齐武汉,烏魯木齊武汉,Urumqi武汉
Utah,,ユタ,犹他州,猶他,Utah
Utica,,ウチカ,尤蒂卡,猶提卡,Utica
Utility,,ユーティリティ,工具程序,公用程式,Utility
Utopia Creek,,,,烏托邦溪,Utopia Creek
Uzbek,Uzbeco,,乌兹别克语,烏茲別克,Uzbek
V = R-Y,V=R-Y,,,,V = R-Y
V font,,V フォント,V 字体,V 字型,V font
VALUE,VALOR,,数值,數值,VALUE
VB.NET,VB . NET,,,,VB.NET
VBR Quality,,VBR音質,VBR 质量,VBR 品質,VBR Quality
VCR Navigator ...,,動画ナビゲータ,,錄影控制器,VCR Navigator ...
VERBATIM COPYING,COPIA LITERAL,,逐字的复制,,VERBATIM COPYING
VERBOSE,,,详细,詳細訊息,VERBOSE
VERSION,,,,版本,VERSION
VHS inlet,,VHS のインレット,紫色,VHS 內卡紙,VHS inlet
VHS-C inlet,,VHS-C のインレット,CD单盒,VHS-C 內卡紙,VHS-C inlet
VM Size,Tamaño MV,,VM 大小,VM 大小,VM Size
VM Start,Inicio MV,,VM 开始于,VM 開始,VM Start
VPN Banner :,,VPN バナー :,,VPN 旗幟 ：,VPN Banner :
VPN Configuration Error,,VPN設定エラー,VPN 配置错误,VPN 組態錯誤,VPN Configuration Error
VPN Connect Failure,,VPN接続の失敗,VPN 连接失败,VPN 連線,VPN Connect Failure
VPN Error,,,VPN 出错,VPN 錯誤,VPN Error
VPN Gateway :,,VPN ゲートウェイ :,VPN 网关 ：,VPN 閘道器 ：,VPN Gateway :
VPN Login Failure,,VPNログインの失敗,VPN 登录失败,VPN 登錄訊息,VPN Login Failure
VPN Start Failure,,VPNの起動の失敗,VPN 启动失败,VPN 啟動失敗,VPN Start Failure
VPN Type :,,VPN の種類 :,VPN 类型 ：,VPN 類型 ：,VPN Type :
Vacaville,,ヴァカヴィル,瓦卡维尔,瓦克維利,Vacaville
Val D 'Or,Val D'Or,,,瓦爾多,Val D 'Or
Val Marie,,,瓦勒玛丽,瓦馬利,Val Marie
Vala Example,Ejemplo en Vala,,Vala 示例,,Vala Example
Valcartier,,,,瓦卡地亞,Valcartier
Valcartier Airport,"Valcartier , aeropuerto",Valcartier 空港,,瓦卡地亞機場,Valcartier Airport
Valencia,,バレンシア,巴伦西亚,瓦倫西亞,Valencia
Valentine,,バレンタイン,情人节,瓦連廷,Valentine
Valera,,バレラ,瓦勒拉,瓦勒拉,Valera
Valkenburg,,ファルケンブルグ,瓦肯堡,瓦肯堡,Valkenburg
Vallenar,,バイェナル,,瓦耶納,Vallenar
Valletta,La Valeta,バレッタ,瓦莱塔,法勒他,Valletta
Valley,,バリー,山谷,維利,Valley
Value,Valor,明度,亮度,數值,Value
Value :,Valor :,値 :,值 ：,數值 :,Value :
Value Invert,,明度の反転,,,Value Invert
Value Propagate,Propagar valor,明度伝搬 ...,,,Value Propagate
Value Type,,値の形式,值类型,變數值類型,Value Type
Value of the option,,プリンターの名前,选项的值,選項的數值,Value of the option
Value out of range .,,値は有効範囲外です,超出范围 。,數值超過界限 。,Value out of range .
Value tab,,明度タブ,,,Value tab
Value type,,ページの種類,值类型,數值類型,Value type
Van,,バン,凡城,凡城,Van
Vancouver,,バンクーバー,温哥华,溫哥華,Vancouver
Vancouver International Airport,"Vancouver International , aeropuerto",バンクーバー国際空港,温哥华国际机场,溫哥華國際機場,Vancouver International Airport
Vantaa,,バンター,万塔,萬塔,Vantaa
Vanuatu,,バヌアツ共和国,瓦努阿图,萬那杜,Vanuatu
"Vanuatu , Vatu",,"バヌアツ , バツ",瓦努阿图 Vatu,,"Vanuatu , Vatu"
Variable,,変数,变量,變數,Variable
Variable Bitrate,,可変ビットレート,可变比特率,變動位元率,Variable Bitrate
Variable Definition,,変数の定義,变量定义,變數定義,Variable Definition
Varna,,バルナ,瓦尔纳,瓦納,Varna
Vatican City,,バチカン市国,梵蒂冈城国,梵蒂岡,Vatican City
Vatry,,,,瓦特里,Vatry
Vauxhall,,ボクソール,,沃克斯霍爾,Vauxhall
VeaucheCity in France,,,沃什City in France,沙瓦赤City in France,VeaucheCity in France
Vector angle,,ベクトルの角度,,,Vector angle
Vector length,,ベクトルの長さ,,,Vector length
Vector mag,,ベクトル拡大,,,Vector mag
Vector mag example,,ベクトル拡大の例,,,Vector mag example
Vegreville,,ベグレビル,,威格維爾,Vegreville
Velikie Luki,,ベリーキエルーキ,,維利耶大魯基,Velikie Luki
Velikiye Luki,,,维利奇拉基,維利耶大魯基,Velikiye Luki
Vellore,,ベロール,,佛洛爾,Vellore
Venezuela,,ベネズエラ,委内瑞拉,委內瑞拉,Venezuela
"Venezuela , Ciego De Ávila",,ベネズエラ 、 Ciego De Ávila,,委內瑞拉 ， Ciego De Ávila,"Venezuela , Ciego De Ávila"
Venezuelan Bolívar,,,,委內瑞拉波利瓦爾,Venezuelan Bolívar
Venice,Venecia,ベニス,威尼斯,威尼斯,Venice
Venice Heliport,,ベニス ・ ヘリポート,,威尼斯直升機場,Venice Heliport
Ventura,,ベンチュラ,文图拉,文杜拉,Ventura
Ventura Harbor,,ベントゥーラ ・ ハーバー,,文杜拉港,Ventura Harbor
Venue :,,開催地 :,会场 ：,音樂廳 ：,Venue :
Veracruz,,ベラクルス,韦拉克鲁斯,維拉克路茲,Veracruz
Verb,Verbo,動詞,动词,,Verb
Verbal,,,语言,,Verbal
Verbatim,,,摘录,,Verbatim
Verbatim Block,Bloque verbatim,Verbatim のブロック,Verbatim 块,Verbatim 區塊,Verbatim Block
Vereeniging,,フェレーニヒンク,弗里尼兴,佛里尼京,Vereeniging
Verify PIN,Verificar el PIN,PINの確認,检验 PIN 码,驗證 PIN 碼,Verify PIN
Verify Signature,Verificar la firma,,校验签名,,Verify Signature
Verify a fingerprint,Verificar una huella,指紋の検証,验证一条指纹,驗證指紋,Verify a fingerprint
Verifying,Verificación,,正在校验,,Verifying
Verifying the format ...,,フォーマットの検証中 ...,正在校验格式 ...,正在檢驗格式 ...,Verifying the format ...
Verifying the format ... Done,,フォーマットの検証中 ... 完了,正在校验格式 ... 完成,檢驗格式 ... 完成,Verifying the format ... Done
Vermilion,,バーミリオン,,佛密良,Vermilion
Vermillion Area,,バーミリオン区域,,佛密良地區,Vermillion Area
Vermont,,バーモント,佛蒙特州,佛蒙特,Vermont
Vernal,,バーナル,,佛納,Vernal
Vernon,,ヴァーノン,弗农,佛農,Vernon
Vero Beach,,ベロビーチ,维罗滩,維羅比奇,Vero Beach
Verona,,ベロナ,维罗纳,維洛納,Verona
Vertex Source,,頂点の原点,顶点着色引擎,下角著色來源,Vertex Source
Vertical,,垂直方向,竖直,垂直,Vertical
Vertical :,,,垂直 ：,,Vertical :
Vertical Alignment,Alineacio n vertical,垂直方向の整列,竖直对齐,垂直對齊,Vertical Alignment
Vertical Axe,Eje vertical,,常规数据,,Vertical Axe
Vertical Box,Caja vertical,,,,Vertical Box
Vertical Box-Plot .,,プロット,垂直 Box-Plot 。,,Vertical Box-Plot .
Vertical Button Box,Botonera vertical,,,,Vertical Button Box
Vertical Fill,Relleno vertical,垂直方向に展張,竖直填充,垂直填充,Vertical Fill
Vertical Scroll Arrow Length,,垂直スクロールバーの矢印の長さ,水平滚动条箭头长度,垂直捲動列箭頭長度,Vertical Scroll Arrow Length
Vertical Scrollable Policy,,垂直スクロールバーのポリシー,竖直滚动条政策,垂直捲動原則,Vertical Scrollable Policy
Vertical Scrollbar Policy,,垂直スクロールバーのポリシー,垂直滚动条政策,垂直捲動列規則,Vertical Scrollbar Policy
Vertical Stripe,Línea vertical,縦縞,垂直条纹,垂直間條,Vertical Stripe
Vertical View :,,,垂直视图 ：,,Vertical View :
Vertical alignment,Alineación vertical,垂直位置,垂直排列,垂直對齊設定,Vertical alignment
Vertical alignment of the actor within the cell,,セル内のアクターの垂直整列,,在方格之內參與者的垂直對齊,Vertical alignment of the actor within the cell
Vertical flip,Reflejo vertical,,竖直翻转,,Vertical flip
Vertical repeat,Repetición vertical,垂直方向の繰り返し,竖直重复,垂直重複,Vertical repeat
Vertigo,Vértigo,めまい,眩晕,暈眩,Vertigo
Very High,Muy alta,,非常高,非常高,Very High
Very High Priority,,,非常高优先级,非常高優先等級,Very High Priority
Very Large,Enorme,とても大きい,特大,特大,Very Large
Very Low,Muy baja,,非常低,非常低,Very Low
Very Low Priority,,,非常低优先级,非常低優先等級,Very Low Priority
Very large font,,とても大きいフォント,特大字体,特大字型,Very large font
Vibrance,,,自然饱和度,,Vibrance
Vicenza,,ビチェンツァ,维琴察,維辰札,Vicenza
Vichy,,ビシー,维希,維琪,Vichy
Vichy-Rolla,,ビッキーローラ,维希-罗拉,維琪-羅拉,Vichy-Rolla
Victoria,,ビクトリア,维多利亚,維多利亞,Victoria
Victoria Beach,,ビクトリア ・ ビーチ,维多利亚海滩,維多利亞海灘,Victoria Beach
Victoria Harbour,,ビクトリア ・ ハーバー,,維多利亞港,Victoria harbor
Victoria International Airport,"Victoria International , aeropuerto",ビクトリア国際空港,维多利亚国际机场,維多利亞國際機場,Victoria International Airport
Victoria Marine,,ビクトリア海兵隊基地,,維多利亞海軍,Victoria Marine
Victorville,,ヴィクタービル,维克多维尔,維克多維爾,Victorville
Vienna,Viena,ウィーン,维也纳,維恩,Vienna
Vientiane,,ビエンチャン,万象,永珍,Vientiane
Viet Nam,Vietnam,ベトナム,越南,越南,Viet Nam
"Viet Nam , Dong",,"ベトナム , ドン",越南 Dong,,"Viet Nam , Dong"
Vietnam,Vietnamita,ベトナム語,越南语,越南語,Vietnam
View,Ver :,表示,查看,檢視,View
View :,Ver :,,查看 ：,,View :
View Line Wrap,Ver,,,,View Line Wrap
View Only,,,,只能觀看,View Only
View SMART Data …,,,查看 SMART 数据 ...,檢視 SMART 資料 …,View SMART Data …
View Source,Ver fuente,,,,View Source
View account,Ver cuenta,,,,View account
View error,,ビューアーの倍率,,預覽畫面遠近調整,View error
View image comment,,画像のコメントを表示します,查看图像备注,顯示圖片備註,View image comment
View information about Ekiga,,Ekiga の情報を表示します,,,View information about Ekiga
View information about your network,,,查看您的网络的信息,檢視您網路的資訊,View information about your network
View next animation frame,,アニメーションの次のフレームを表示します,查看下一帧动画,顯示下一格動畫畫格,View next animation frame
View next image,Ver la próxima imagen,次の画像を表示します,查看下一幅图像,顯示下一幅圖片,View next image
View next tab,,次のタブを表示します,查看下个标签,顯示下一個分頁,View next tab
View pane,,ビューペイン,显示区,,View pane
View the bibliography entry .,,参考文献のエントリ を表示する 。,查看引用条目 。,檢視參考書目項目 。,View the bibliography entry .
View the image,Ver la imagen,画像を表示します,查看图像,顯示圖片,View the image
View the main toolbar,,メイン ・ ツールバーを表示します,查看主工具栏,顯示主工具列,View the main toolbar
View toolbar,,メイン ・ ツールバーを表示します,查看工具栏,顯示工具列,View toolbar
View with GThumb,Ver con GThumb,GThumb で表示,以 GThumb 查看,以 GThumb 方式顯示,View with GThumb
Viewer,Ver,ビューアー,查看,檢視,Viewer
Viewing,Ver,閲覧,查看,檢視,Viewing
Viewport,Puerto,ビューポート,视见区,視埠,Viewport
Vigan,,ビガン,,維干,Vigan
Vigo,,ビゴ,维哥,維哥,Vigo
Vila Real,,ビラレアル,,里爾市,Vila Real
Vilano Beach,,,韦勒诺海滩,維羅比奇,Vilano Beach
Vilhena,,ビルヘナ,威利那,維列納,Vilhena
Villafranca,,ビジャフランカ,,維拉弗朗卡,Villafranca
Villaguay,,ビヤグアイ,,維雅圭,Villaguay
Villanubla,,,比亚努夫拉,維蘭庫洛斯,Villanubla
Villavicencio,,ビヤビセンシオ,比亚维森西奥,比亞維森西奧,Villavicencio
Villeneuve,,ビルヌーブ,,維內夫,Villeneuve
Vinagre Manual,Vinagre,,Vinagre 手册,,Vinagre Manual
Vinh,,ビン,,榮市,Vinh
Vinton,,ヴィントン,温顿,文頓,Vinton
Violet,Violeta,スミレ色,紫色,雪青色,Violet
Violin,Violín,,小提琴,,Violin
Virac,,ビラク,,維拉克,Virac
Virginia,,バージニア,维吉尼亚,維吉尼亞,Virginia
Virginia Beach,,バージニア ・ ビーチ,维吉尼亚海岸,維吉尼亞比奇,Virginia Beach
Virginia Tech Airport,"Virginia Tech , aeropuerto",バージニアテック空港,维吉尼亚科技机场,維吉尼亞科技機場,Virginia Tech Airport
Viro Viro,,ビロビロ,比罗比罗,維魯-維魯,Viro Viro
Virtual,,仮想,虚拟,虛擬,Virtual
Virtual Machine management,,論理ボリュームの管理,虚拟机管理,虛擬機器管理,Virtual Machine management
Virtual Memory,Memoria virtual,,虚拟内存,虛擬記憶體,Virtual Memory
Virtual alarm clock,,仮想アラームクロック,虚拟警报时钟,虛擬時鐘訊號,Virtual alarm clock
Virtualconnection name,,,虚拟connection name,虛擬connection name,Virtualconnection name
Viru-Viru,,ビルビル,,維魯-維魯,Viru-Viru
Viterbo,,ビテルボ,维特博,維特波,Viterbo
Vitoria,,ビトリア,维多利亚,維多利亞,Vitoria
Vitória,,,维多利亚,維多利亞,Vitória
Vnukovo,,,伏努科沃,夫努科弗,Vnukovo
Vnukovo Airport,"Vnukovo , aeropuerto",,,,Vnukovo Airport
Vohemar,,ボエマル,,佛赫馬,Vohemar
Voi,,ボイ,,佛伊,Voi
Voice,Voz,,语音,聲音,Voice
Vol,,,成交量,成交量,Vol
Vol + MA,Vol+MA,,成交量 + 移动平均,成交 + 移動平均,Vol + MA
Volk,,フォルケ,,佛科,Volk
Volkel,,フェルケル,沃尔克尔,,Volkel
Volleyball,Voleibol,,全部折叠,,Volleyball
Voltage,Voltaje,電圧,电压,電壓,Voltage
Volterra,,ボルテラ,,沃爾泰拉,Volterra
Volume,Volumen,音量,音量,音量,Volume
Volume :,Volumen :,ボリューム :,蓝 ：,亮度 ：,Volume :
Volume Applet,,音量調節アプレット,音量小程序,音量控制程式,Volume Applet
Volume Control,,音量調節ツール音量調節アプレット音量調節ツール,音量控制器,音量控制,Volume Control
Volume Control Applet,,,音量控制小程序,,Volume Control Applet
Volume Control Manual,,,音量控制手册,音量控制程式 手冊,Volume Control Manual
Volume Control …,,音量調節ツール ...,音量控制 ...,音量控制 ...,Volume Control …
Volume Down,Bajar el volumen,音量レベルを下げる,音量降低,調低音量,Volume Down
Volume Group,,ボリュームグループ,卷组,儲存區群組,Volume Group
Volume Manager,,ボリュームの管理,卷管理器,儲存裝置管理程式,Volume Manager
Volume Name :,,ボリューム名 :,卷名称 ：,儲存區名稱 ：,Volume Name :
Volume Up,Subir el volumen,音量レベルを上げる,音量增加,調高音量,Volume Up
Volume button .,,一時停止ボタンを表示しています 。,音量按钮 。,顯示暫停按鈕 。,Volume button .
Volume control for your GNOME Panel .,,GNOME パネル用の音量調節アプレットです,从 GNOME 面板上进行音量控制 。,GNOME 面板的音量控制 。,Volume control for your GNOME Panel .
Volume mute,Silenciar,ミュートにする,静音,靜音,Volume mute
Volume up,Subir volumen,音量を上げる,音量升高,調高音量,Volume up
Voronez,,ボロネジ,,佛羅內什,Voronez
Voronezh,Vorónezh,,沃罗涅什,佛羅內什,Voronezh
Voronoi,,ボロノイモード,,,Voronoi
Vryburg,,フレーブルグ,,夫來堡,Vryburg
Vršac,,,弗尔沙茨,佛沙治,Vršac
Växjö,,,韦克舍,維克休,Växjö
Vélizy,,,韦利济,,Vélizy
Vélizy-Villacoublay,,,,韋利濟-維拉庫布萊,Vélizy-Villacoublay
W Point - Starkville,,,,W Point - 斯塔克維,W Point - Starkville
WARNING :,ADVERTENCIA :,重要 :,警告 ：,警告 ：,WARNING :
WAVE,,,波形,,WAVE
WBMP image,imagen WBMP,WBMP 画像,WBMP 图像,WBMP 影像,WBMP image
WEB Palette,,Web パレット,,網頁色盤,WEB Palette
WIDTH,ANCHURA,,宽度,寬度,WIDTH
WIDTHxHEIGHT + X + Y,ANCHURAxALTURA+X+Y,幅x高さ + X + Y,宽度x高度 + X + Y,,WIDTHxHEIGHT + X + Y
WMF image,imagen WMF,WMF 画像,WMF 图像,WMF 影像,WMF image
WMLScript program,programa en WMLScript,WMLScript プログラム,WMLScript 程序,WMLScript 程式,WMLScript program
WOFF font,,WOFF フォント,WOFF 字体,WOFF 字型,WOFF font
WORD,PALABRA,,单词,,WORD
WORDS,PALABRAS,,单词,,WORDS
WPA Automatic,WPA automática,WPA 自動,WPA 自动,,WPA Automatic
WPA2 Automatic,WPA2 automática,WPA2 自動,WPA2 自动,,WPA2 Automatic
Wa,,ワシントン,,瓦鎮,Wa
Waco,,ウェーコ,韦科,威科,Waco
Waco Regional Airport,"Waco , aeropuerto regional",,,,Waco Regional Airport
Wacom button action type,,Wacom ボタンアクションの型,Wacom 按钮动作类型,Wacom 按鈕類型,Wacom button action type
Wacom plugin,,Wacom プラグイン,Wacom 插件,Wacom 外掛程式,Wacom plugin
Wacom tablet PC feature,,Wacom タブレット PC の機能,Wacom 平板电脑的功能,Wacom 平板 PC 功能,Wacom tablet PC feature
Wacom tablet area,,Wacom タブレットの範囲,Wacom 数位板区域,Wacom 繪圖板區域,Wacom tablet area
Wacom tablet rotation,,Wacom タブレットの回転,Wacom 的数位板旋转,Wacom 手寫板旋轉,Wacom tablet rotation
Wacom touch feature,,Wacom のタッチ機能,Wacom 的触控功能,Wacom touch 功能,Wacom touch feature
Wagga Wagga,,,,瓦加瓦加,Wagga Wagga
Wahiawā,Wahiawa,ワヒアワ,瓦希阿瓦,瓦希阿瓦,Wahiawā
Wahpeton,,,瓦佩顿,瓦佩頓,Wahpeton
Waiki ‘ i,Waikiki,,怀基伊,懷基伊,Waiki ‘ i
Wainfleet,,,温弗利特,威因夫利,Wainfleet
Wainwright,,ウェーンライト,温赖特,溫來特,Wainwright
Wainwright Airport,"Wainwright , aeropuerto",ウェーンライト空港,,溫來特機場,Wainwright Airport
Wait : Enter,Intro,,等待 ： Enter,,Wait : Enter
Waiting,,,等待,,Waiting
Waiting ...,,,等待中 ...,,Waiting ...
Waiting Channel,,,等候频道,等待頻道,Waiting Channel
Waiting for authentication,,認証待ち,正在等待验证,正在等候認證,Waiting for authentication
Waiting for package manager lock,,パッケージマネジャーのロック解除待ち,正在等待软件包管理器锁,正在等待套件管理程式解鎖,Waiting for package manager lock
Waiting for package manager lock .,,パッケージマネージャーのロックを待っています 。,正在等待软件包管理器锁 。,正在等待軟體包管理程式解鎖 。,Waiting for package manager lock .
Waiting for playback to begin ...,,再生開始を待っています ...,等待回放开始 ...,正在等候播放控制開始 ...,Waiting for playback to begin ...
Waiting for playback to begin …,,再生開始を待っています ...,等待播放开始 ...,正在等候播放控制開始 …,Waiting for playback to begin …
Waiting in queue,,キュー待ち,正在队列中等待,正在佇列中等待,Waiting in queue
Waiting to charge,,充電待ち,待充电,正等待充電,Waiting to charge
Waiting to print,,待機中,等候打印,等待列印,Waiting to print
Wajir,,,,瓦吉爾,Wajir
Wakkanai,,稚内,稚内,稚內,Wakkanai
Walla Walla,,ワラワラ,沃拉沃拉,瓦拉瓦拉,Walla Walla
Walloon,Valón,,瓦龙语,華隆文,Walloon
Wallpaper,,,壁纸,桌布,Wallpaper
Warn on low time rather than low percentage,,残量は百分率ではなく時間で警告する,根据剩余时间而非剩余百分比给出警告,以低剩餘時間發出警告 ， 而非以電量的低百份比,Warn on low time rather than low percentage
Warning,Atención,警告,警告,警告,Warning
Warning :,Atención :,警告 :,警告 ：,警告 ：,Warning :
Warning Dialogue,,警告ダイアログ,警告框,,Warning dialog
Warning Dialogue Example,,警告ダイアログの例,警告框范例,,Warning dialog Example
Warning colour,,警告の色,警告颜色,警告顏色,Warning color
Warp,Deformar,ワープ ...,扭曲,扭曲,Warp
Warren,,,沃伦,瓦倫,Warren
Watch TV,,,看电视,,Watch TV
Watch game,,ゲームを見物,,觀看遊戲,Watch game
Water,Agua,,,,Water
Waterbury,,ウォーターベリー,沃特伯里,窩特柏立,Waterbury
Watercolor,Acuarela,水彩色セレクター,,,Watercolor
Watercolor Color Selector,,水彩色セレクター,,,Watercolor Color Selector
Watercolour,Acuarela,水彩色,水彩,水彩,watercolor
Waterkloof Lmb,,ウォータークルーフ,,,Waterkloof Lmb
Waterlevel,,水位,,,Waterlevel
Waterloo,,ウォータールー,滑铁卢,滑鐵盧,Waterloo
Watermark image for the top,,"ダイアログの上部に表示する "" すかし画像 "" です",,顯示於頁面頂端的標誌,Watermark image for the top
Waterpolo,Lateral,,,,Waterpolo
Watertown,,ウォータータウン,沃特敦,窩特鎮,Watertown
Waterville,,ウォータービル,沃特维尔,窩特維,Waterville
Watonga,,,,瓦頓加,Watonga
Waukegan,,ウォーキーガン,沃基根,窩基干,Waukegan
Waupaca,,ウォーパカ,沃帕卡,窩帕卡,Waupaca
Wautoma,,,沃托马,窩托馬,Wautoma
Wave Type,,波の種類,,,Wave Type
Wavefile :,,Waveファイル :,,參數檔 ：,Wavefile :
Waveform,,波形,波形,波型,Waveform
Waveform PCM,,,声波形式的 PCM,波形 PCM,Waveform PCM
Wavelength,,波長,,,Wavelength
Wavy White,,,白色波纹,白波浪紋,Wavy White
Wawa,,,瓦瓦,瓦瓦,Wawa
Wayne,,ウェイン,韦恩,威恩,Wayne
Wayne Municipal Airport,"Wayne Municipal , aeropuerto",Wayne Municipal 空港,,威恩市立嘰場,Wayne Municipal Airport
We are happy to announce that :,,,我们很高兴地宣布 ：,,We are happy to announce that :
Weak,De bil,,,,Weak
Wealthy,Riqueza,,,,Wealthy
Weapon,Arma,,武器,,Weapon
Weather,Meteorología,天気,天气,天氣,Weather
Weather : Fog,Meteorología : Niebla,,天气 ： 雾,,Weather : Fog
Weather : Rain,Meteorología : Lluvia,,天气 ： 有雨,,Weather : Rain
Weather : Snow,Meteorología : Nieve,,天气 ： 有雪,,Weather : Snow
Weather : Sunny,,,天气 ： 晴,,Weather : Sunny
Weather Information,Información meteorológica,天気の情報,气象信息,天氣資訊,Weather Information
Weather Report,Informe meteorológico,お天気 GNOME,气象报告,天氣報告,Weather Report
Weather Report Manual,,,气象报告手册,氣象報告 手冊,Weather Report Manual
Weather Station Office,,気象観測オフィス,,氣象站辦公室,Weather Station Office
Weather for a city,,都市の天気,城市天气,城市的天氣,Weather for a city
Weather location information,,都市情報,天气位置信息,天氣位置資訊,Weather location information
Weather location information .,,場所に関連する情報です 。,天气位置信息 。,天氣位置資訊 。,Weather location information .
Weave,,織物 ...,,,Weave
Web,,ウェブ,网页,網頁,Web
Web Album,Álbum para la web,ウェブ ・ アルバム,网页相册,網頁相簿,Web Album
Web Album Theme,,ウェブ ・ アルバムのテーマ,网页相册主题,網頁相簿佈景,Web Album Theme
Web Camera,Cámara web,ウェブカム,摄像头,網路攝影機,Web Camera
Web Content,,コンテンツ,Web 内容,網頁內容,Web Content
Web Development,,コンテンツ,Web 内容,網頁開發,Web Development
Web Page,Página web,,,,Web Page
Web Page :,,,网页 ：,,Web Page :
Web Page Creation,,,网页创建,,Web Page Creation
Web Palette,Paleta web,ウェブのパレット,Web 调色板,網頁調色板,Web Palette
Web Site Certificate,,ウェブ ・ サイトの証明書,网站证书,網站憑證,Web Site Certificate
Web page,Página web,,网页,網頁,Web page
Web page :,,,网页 ：,,Web page :
WebKitGTK +,WebKitGTK+,,,,WebKitGTK +
Webcam,Ca mara web,,摄像头,網路攝影機,Webcam
Week,Semana,週間,,,Week
Week :,Semana :,,周 ：,週 ：,Week :
Weekly,Semanalmente,毎週,每周,每週,Weekly
Weibull,,,威布尔,,Weibull
Weight,,,体重,寬度,Weight
Weightlifting,Halterofilia,,,,Weightlifting
Weipa,,ウェイパ,,韋帕,Weipa
Wejh,,ウェジ,,威治,Wejh
Welcome,,ようこそ,欢迎,歡迎,Welcome
Welcome !,,,欢迎 ！,歡迎 ！,Welcome !
Welcome to Ekiga,,Ekiga へようこそ,,,Welcome to Ekiga
Welcome to Empathy,,,欢迎使用 Empathy,,Welcome to Empathy
Welcome to GIMP,,GIMP へようこそ,欢迎使用 GIMP,,Welcome to GIMP
Welcome to Geary .,,Geary へようこそ,欢迎使用 Geary 。,歡迎使用 Geary 。,Welcome to Geary .
Welcome to Orca .,,Orca へようこそ,欢迎来到 Orca 。,歡迎使用 Orca 。,Welcome to Orca .
Welcome to Shotwell !,,,欢迎使用 Shotwell ！,歡迎使用 Shotwell !,Welcome to Shotwell !
Welcome to gTuring,,,欢迎来到 gTuring,歡迎來玩 gTuring 。,Welcome to gTuring
